Line No.,From Bus,To Bus,R (pu),X (pu),Flow Limit (MW)
1,1,2,0.0303,0.0999,175
2,1,3,0.0129,0.0424,175
3,4,5,0.00176,0.00798,500
4,3,5,0.0241,0.108,175
5,5,6,0.0119,0.054,175
6,6,7,0.00459,0.0208,175
7,8,9,0.00244,0.0305,500
8,8,5,0,0.0267,500
9,9,10,0.00258,0.0322,500
10,4,11,0.0209,0.0688,175
11,5,11,0.0203,0.0682,175
12,11,12,0.00595,0.0196,175
13,2,12,0.0187,0.0616,175
14,3,12,0.0484,0.16,175
15,7,12,0.00862,0.034,175
16,11,13,0.02225,0.0731,175
17,12,14,0.0215,0.0707,175
18,13,15,0.0744,0.2444,175
19,14,15,0.0595,0.195,175
20,12,16,0.0212,0.0834,175
21,15,17,0.0132,0.0437,500
22,16,17,0.0454,0.1801,175
23,17,18,0.0123,0.0505,175
24,18,19,0.01119,0.0493,175
25,19,20,0.0252,0.117,175
26,15,19,0.012,0.0394,175
27,20,21,0.0183,0.0849,175
28,21,22,0.0209,0.097,175
29,22,23,0.0342,0.159,175
30,23,24,0.0135,0.0492,175
31,23,25,0.0156,0.08,500
32,26,25,0,0.0382,500
33,25,27,0.0318,0.163,500
34,27,28,0.01913,0.0855,175
35,28,29,0.0237,0.0943,175
36,30,17,0,0.0388,500
37,8,30,0.00431,0.0504,175
38,26,30,0.00799,0.086,500
39,17,31,0.0474,0.1563,175
40,29,31,0.0108,0.0331,175
41,23,32,0.0317,0.1153,140
42,31,32,0.0298,0.0985,175
43,27,32,0.0229,0.0755,175
44,15,33,0.038,0.1244,175
45,19,34,0.0752,0.247,175
46,35,36,0.00224,0.0102,175
47,35,37,0.011,0.0497,175
48,33,37,0.0415,0.142,175
49,34,36,0.00871,0.0268,175
50,34,37,0.00256,0.0094,500
51,38,37,0,0.0375,500
52,37,39,0.0321,0.106,175
53,37,40,0.0593,0.168,175
54,30,38,0.00464,0.054,175
55,39,40,0.0184,0.0605,175
56,40,41,0.0145,0.0487,175
57,40,42,0.0555,0.183,175
58,41,42,0.041,0.135,175
59,43,44,0.0608,0.2454,175
60,34,43,0.0413,0.1681,175
61,44,45,0.0224,0.0901,175
62,45,46,0.04,0.1356,175
63,46,47,0.038,0.127,175
64,46,48,0.0601,0.189,175
65,47,49,0.0191,0.0625,175
66,42,49,0.0715,0.323,175
67,42,49,0.0715,0.323,175
68,45,49,0.0684,0.186,175
69,48,49,0.0179,0.0505,175
70,49,50,0.0267,0.0752,175
71,49,51,0.0486,0.137,175
72,51,52,0.0203,0.0588,175
73,52,53,0.0405,0.1635,175
74,53,54,0.0263,0.122,175
75,49,54,0.073,0.289,175
76,49,54,0.0869,0.291,175
77,54,55,0.0169,0.0707,175
78,54,56,0.00275,0.00955,175
79,55,56,0.00488,0.0151,175
80,56,57,0.0343,0.0966,175
81,50,57,0.0474,0.134,175
82,56,58,0.0343,0.0966,175
83,51,58,0.0255,0.0719,175
84,54,59,0.0503,0.2293,175
85,56,59,0.0825,0.251,175
86,56,59,0.0803,0.239,175
87,55,59,0.04739,0.2158,175
88,59,60,0.0317,0.145,175
89,59,61,0.0328,0.15,175
90,60,61,0.00264,0.0135,500
91,60,62,0.0123,0.0561,175
92,61,62,0.00824,0.0376,175
93,63,59,0,0.0386,500
94,63,64,0.00172,0.02,500
95,64,61,0,0.0268,500
96,38,65,0.00901,0.0986,500
97,64,65,0.00269,0.0302,500
98,49,66,0.018,0.0919,500
99,49,66,0.018,0.0919,500
100,62,66,0.0482,0.218,175
101,62,67,0.0258,0.117,175
102,65,66,0,0.037,500
103,66,67,0.0224,0.1015,175
104,65,68,0.00138,0.016,500
105,47,69,0.0844,0.2778,175
106,49,69,0.0985,0.324,175
107,68,69,0,0.037,500
108,69,70,0.03,0.127,500
109,24,70,0.00221,0.4115,175
